datetime,code,open,high,low,close,volume,amount,adjustflag
2019-01-03 11:15:00,sh.600000,9.7,9.73,9.7,9.71,273100,2652640.0,3
2019-01-03 11:20:00,sh.600000,9.72,9.72,9.7,9.7,215090,2087416.0,3
2019-01-03 11:25:00,sh.600000,9.7,9.73,9.69,9.73,305460,2965841.0,3
2019-01-03 11:30:00,sh.600000,9.71,9.74,9.71,9.74,219268,2133127.0,3
2019-01-03 13:05:00,sh.600000,9.73,9.74,9.71,9.71,225032,2187782.0,3
2019-01-03 13:10:00,sh.600000,9.71,9.72,9.7,9.7,93100,903787.0,3
2019-01-03 13:15:00,sh.600000,9.7,9.71,9.7,9.71,120500,1169205.0,3
2019-01-03 13:20:00,sh.600000,9.7,9.71,9.7,9.7,108300,1050575.0,3
2019-01-03 13:25:00,sh.600000,9.7,9.71,9.69,9.69,77100,747546.0,3
2019-01-03 13:30:00,sh.600000,9.69,9.74,9.69,9.72,258300,2507512.0,3
2019-01-03 13:35:00,sh.600000,9.72,9.75,9.72,9.74,240100,2336769.0,3
2019-01-03 13:40:00,sh.600000,9.73,9.74,9.73,9.74,200000,1946752.0,3
2019-01-03 13:45:00,sh.600000,9.74,9.76,9.74,9.75,210500,2051957.0,3
2019-01-03 13:50:00,sh.600000,9.75,9.75,9.74,9.74,209513,2041996.0,3
2019-01-03 13:55:00,sh.600000,9.74,9.76,9.74,9.75,195100,1901826.0,3
2019-01-03 14:00:00,sh.600000,9.75,9.77,9.75,9.76,159986,1562023.0,3
2019-01-03 14:05:00,sh.600000,9.76,9.77,9.76,9.76,222000,2168303.0,3
2019-01-03 14:10:00,sh.600000,9.76,9.77,9.76,9.76,122200,1193498.0,3
2019-01-03 14:15:00,sh.600000,9.76,9.77,9.76,9.76,250400,2444940.0,3
2019-01-03 14:20:00,sh.600000,9.76,9.79,9.75,9.79,846528,8276793.0,3
2019-01-03 14:25:00,sh.600000,9.79,9.79,9.77,9.77,522525,5112892.0,3
2019-01-03 14:30:00,sh.600000,9.77,9.79,9.77,9.77,332100,3247051.0,3
2019-01-03 14:35:00,sh.600000,9.77,9.78,9.76,9.77,181700,1775799.0,3
2019-01-03 14:40:00,sh.600000,9.76,9.77,9.76,9.76,210200,2052637.0,3
2019-01-03 14:45:00,sh.600000,9.77,9.78,9.76,9.78,679447,6638635.0,3
2019-01-03 14:50:00,sh.600000,9.77,9.79,9.77,9.79,629100,6155142.0,3
2019-01-03 14:55:00,sh.600000,9.79,9.79,9.77,9.79,766530,7495925.0,3
2019-01-03 15:00:00,sh.600000,9.79,9.81,9.78,9.81,1226244,12023542.0,3
2019-01-04 09:35:00,sh.600000,9.73,9.79,9.7,9.76,1192116,11621060.0,3
2019-01-04 09:40:00,sh.600000,9.75,9.83,9.74,9.76,836100,8183538.0,3
2019-01-04 09:45:00,sh.600000,9.76,9.82,9.75,9.76,707700,6924713.0,3
2019-01-04 09:50:00,sh.600000,9.75,9.8,9.75,9.78,451500,4413484.0,3
2019-01-04 09:55:00,sh.600000,9.76,9.83,9.76,9.8,757900,7432724.0,3
2019-01-04 10:00:00,sh.600000,9.8,9.81,9.78,9.78,464330,4547504.0,3
2019-01-04 10:05:00,sh.600000,9.78,9.8,9.77,9.8,331473,3242803.0,3
2019-01-04 10:10:00,sh.600000,9.8,9.8,9.77,9.78,187200,1831354.0,3
2019-01-04 10:15:00,sh.600000,9.78,9.79,9.77,9.78,225787,2208176.0,3
